Egipat,Afrika,26
Maroko,Afrika,25
Nigerija,Afrika,27
Senegal,Afrika,28
Tunis,Afrika,29
Australia,Azija,9
Iran,Azija,10
Japan,Azija,11
Juzna Koreja,Azija,12
Saudijska Arabija,Azija,13
Belgija,Evropa,3
Hrvatska,Evropa,17
Danska,Evropa,18
Engleska,Evropa,19
Francuska,Evropa,7
Nemacka,Evropa,1
Island,Evropa,20
Poljska,Evropa,8
Portugal,Evropa,4
Rusija,Evropa,21
Srbija,Evropa,22
Spanija,Evropa,23
Svedska,Evropa,24
Svajcarska,Evropa,6
Kostarika,Severna i Centralna Amerika,14
Meksiko,Severna i Centralna Amerika,15
Panama,Severna i Centralna Amerika,16
Argentina,Juzna Amerika,5
Brazil,Juzna Amerika,2
Kolumbija,Juzna Amerika,30
Peru,Juzna Amerika,31
Urugvaj,Okeanija,32
